protection,deadline_f,budget_frac,target_class,view,n_target,budget_B,j_informed,j_blind,j_oracle,vom,capture_ratio,precision_at_b,recall
none,0.1,0.05,class_0,network,400.0,160.0,93.0,20.0,160.0,73.0,0.5214285714285715,0.58125,0.2325
none,0.1,0.125,class_0,network,400.0,400.0,220.0,50.0,400.0,170.0,0.4857142857142857,0.55,0.55
none,0.1,0.25,class_0,network,400.0,800.0,393.0,100.0,400.0,293.0,0.9766666666666667,0.49125,0.9825
none,0.1,0.5,class_0,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.1,0.05,class_1,network,400.0,160.0,121.0,20.0,160.0,101.0,0.7214285714285714,0.75625,0.3025
none,0.1,0.125,class_1,network,400.0,400.0,297.0,50.0,400.0,247.0,0.7057142857142857,0.7425,0.7425
none,0.1,0.25,class_1,network,400.0,800.0,397.0,100.0,400.0,297.0,0.99,0.49625,0.9925
none,0.1,0.5,class_1,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.1,0.05,class_2,network,400.0,160.0,116.0,20.0,160.0,96.0,0.6857142857142857,0.725,0.29
none,0.1,0.125,class_2,network,400.0,400.0,221.0,50.0,400.0,171.0,0.48857142857142855,0.5525,0.5525
none,0.1,0.25,class_2,network,400.0,800.0,371.0,100.0,400.0,271.0,0.9033333333333333,0.46375,0.9275
none,0.1,0.5,class_2,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.1,0.05,class_3,network,400.0,160.0,75.0,20.0,160.0,55.0,0.39285714285714285,0.46875,0.1875
none,0.1,0.125,class_3,network,400.0,400.0,195.0,50.0,400.0,145.0,0.4142857142857143,0.4875,0.4875
none,0.1,0.25,class_3,network,400.0,800.0,383.0,100.0,400.0,283.0,0.9433333333333334,0.47875,0.9575
none,0.1,0.5,class_3,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.1,0.05,class_4,network,400.0,160.0,80.0,20.0,160.0,60.0,0.42857142857142855,0.5,0.2
none,0.1,0.125,class_4,network,400.0,400.0,201.0,50.0,400.0,151.0,0.43142857142857144,0.5025,0.5025
none,0.1,0.25,class_4,network,400.0,800.0,383.0,100.0,400.0,283.0,0.9433333333333334,0.47875,0.9575
none,0.1,0.5,class_4,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.1,0.05,class_5,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.1,0.125,class_5,network,400.0,400.0,381.0,50.0,400.0,331.0,0.9457142857142857,0.9525,0.9525
none,0.1,0.25,class_5,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.1,0.5,class_5,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.1,0.05,class_6,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.1,0.125,class_6,network,400.0,400.0,324.0,50.0,400.0,274.0,0.7828571428571428,0.81,0.81
none,0.1,0.25,class_6,network,400.0,800.0,391.0,100.0,400.0,291.0,0.97,0.48875,0.9775
none,0.1,0.5,class_6,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.1,0.05,class_7,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.1,0.125,class_7,network,400.0,400.0,356.0,50.0,400.0,306.0,0.8742857142857143,0.89,0.89
none,0.1,0.25,class_7,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.1,0.5,class_7,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.2,0.05,class_0,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.2,0.125,class_0,network,400.0,400.0,387.0,50.0,400.0,337.0,0.9628571428571429,0.9675,0.9675
none,0.2,0.25,class_0,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.2,0.5,class_0,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.2,0.05,class_1,network,400.0,160.0,120.0,20.0,160.0,100.0,0.7142857142857143,0.75,0.3
none,0.2,0.125,class_1,network,400.0,400.0,304.0,50.0,400.0,254.0,0.7257142857142858,0.76,0.76
none,0.2,0.25,class_1,network,400.0,800.0,396.0,100.0,400.0,296.0,0.9866666666666667,0.495,0.99
none,0.2,0.5,class_1,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.2,0.05,class_2,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.2,0.125,class_2,network,400.0,400.0,366.0,50.0,400.0,316.0,0.9028571428571428,0.915,0.915
none,0.2,0.25,class_2,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.2,0.5,class_2,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.2,0.05,class_3,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.2,0.125,class_3,network,400.0,400.0,392.0,50.0,400.0,342.0,0.9771428571428571,0.98,0.98
none,0.2,0.25,class_3,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.2,0.5,class_3,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.2,0.05,class_4,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.2,0.125,class_4,network,400.0,400.0,387.0,50.0,400.0,337.0,0.9628571428571429,0.9675,0.9675
none,0.2,0.25,class_4,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.2,0.5,class_4,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.2,0.05,class_5,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.2,0.125,class_5,network,400.0,400.0,383.0,50.0,400.0,333.0,0.9514285714285714,0.9575,0.9575
none,0.2,0.25,class_5,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.2,0.5,class_5,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.2,0.05,class_6,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.2,0.125,class_6,network,400.0,400.0,326.0,50.0,400.0,276.0,0.7885714285714286,0.815,0.815
none,0.2,0.25,class_6,network,400.0,800.0,395.0,100.0,400.0,295.0,0.9833333333333333,0.49375,0.9875
none,0.2,0.5,class_6,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.2,0.05,class_7,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.2,0.125,class_7,network,400.0,400.0,363.0,50.0,400.0,313.0,0.8942857142857142,0.9075,0.9075
none,0.2,0.25,class_7,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.2,0.5,class_7,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.5,0.05,class_0,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.5,0.125,class_0,network,400.0,400.0,400.0,50.0,400.0,350.0,1.0,1.0,1.0
none,0.5,0.25,class_0,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.5,0.5,class_0,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.5,0.05,class_1,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.5,0.125,class_1,network,400.0,400.0,301.0,50.0,400.0,251.0,0.7171428571428572,0.7525,0.7525
none,0.5,0.25,class_1,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.5,0.5,class_1,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.5,0.05,class_2,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.5,0.125,class_2,network,400.0,400.0,389.0,50.0,400.0,339.0,0.9685714285714285,0.9725,0.9725
none,0.5,0.25,class_2,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.5,0.5,class_2,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.5,0.05,class_3,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
none,0.5,0.125,class_3,network,400.0,400.0,399.0,50.0,400.0,349.0,0.9971428571428571,0.9975,0.9975
none,0.5,0.25,class_3,network,400.0,800.0,400.0,100.0,400.0,300.0,1.0,0.5,1.0
none,0.5,0.5,class_3,network,400.0,1600.0,400.0,200.0,400.0,200.0,1.0,0.25,1.0
none,0.5,0.05,class_4,network,400.0,160.0,160.0,20.0,160.0,140.0,1.0,1.0,0.4
