view,protection,classifier,accuracy,acc_ci_lo,acc_ci_hi,macro_f1,fold_mean,fold_std,chance_uniform,chance_majority,lift_over_chance
registry,none,rf,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.125,8.0
network,none,rf,0.9903125,0.98625,0.99375,0.9902926619782024,0.9903124999999999,0.002296396633859235,0.125,0.125,7.9225
combined,none,rf,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.125,8.0
registry,unlinkability,rf,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.125,8.0
network,unlinkability,rf,0.954375,0.9465625,0.9615703125,0.9543708476068083,0.954375,0.004001952648395507,0.125,0.125,7.635
combined,unlinkability,rf,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.125,8.0
registry,metadata_min,rf,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.125,8.0
network,metadata_min,rf,0.9875,0.9834375,0.99125,0.9874772128695348,0.9875,0.0047392971525322064,0.125,0.125,7.9
combined,metadata_min,rf,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.125,8.0
registry,both,rf,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.125,8.0
network,both,rf,0.4203125,0.4037421875,0.4375,0.4195569775503957,0.4203125,0.011566722202076083,0.125,0.125,3.3625
combined,both,rf,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.125,8.0
registry,discovery_privacy,rf,0.125,0.11374218750000001,0.1371875,0.027777777777777776,0.125,0.0,0.125,0.125,1.0
network,discovery_privacy,rf,0.9903125,0.98625,0.99375,0.9902926619782024,0.9903124999999999,0.002296396633859235,0.125,0.125,7.9225
combined,discovery_privacy,rf,0.9915625,0.9881171875,0.9946875,0.9915434990251966,0.9915624999999999,0.002898005779842405,0.125,0.125,7.9325
registry,all,rf,0.125,0.11374218750000001,0.1371875,0.027777777777777776,0.125,0.0,0.125,0.125,1.0
network,all,rf,0.4203125,0.4037421875,0.4375,0.4195569775503957,0.4203125,0.011566722202076083,0.125,0.125,3.3625
combined,all,rf,0.4203125,0.40280468750000004,0.4375,0.41907204545721266,0.4203125,0.01202211503854459,0.125,0.125,3.3625
