knob,value,chance,registry_none,network_none,network_prefix,network_both,network_none_lift,network_prefix_lift,network_both_lift
n_classes,4.0,0.25,1.0,1.0,0.9333333333333333,0.5466666666666666,4.0,3.7333333333333334,2.1866666666666665
n_classes,6.0,0.16666666666666666,1.0,0.99,0.9333333333333333,0.53,5.94,5.6000000000000005,3.18
n_classes,8.0,0.125,1.0,0.9641666666666666,0.8683333333333333,0.4041666666666667,7.713333333333333,6.946666666666666,3.2333333333333334
n_classes,12.0,0.08333333333333333,1.0,0.9588888888888889,0.8566666666666667,0.31555555555555553,11.506666666666668,10.280000000000001,3.7866666666666666
n_classes,16.0,0.0625,1.0,0.9016666666666666,0.6766666666666666,0.21875,14.426666666666666,10.826666666666666,3.5
overlap,0.2,0.125,1.0,0.975,0.885,0.4041666666666667,7.8,7.08,3.2333333333333334
overlap,0.35,0.125,1.0,0.97,0.8583333333333333,0.4041666666666667,7.76,6.866666666666666,3.2333333333333334
overlap,0.5,0.125,1.0,0.9641666666666666,0.8683333333333333,0.4041666666666667,7.713333333333333,6.946666666666666,3.2333333333333334
overlap,0.65,0.125,1.0,0.9533333333333334,0.8683333333333333,0.4041666666666667,7.626666666666667,6.946666666666666,3.2333333333333334
overlap,0.8,0.125,1.0,0.9583333333333334,0.8583333333333333,0.4041666666666667,7.666666666666667,6.866666666666666,3.2333333333333334
timing_noise,0.2,0.125,1.0,0.99,0.9233333333333333,0.4041666666666667,7.92,7.386666666666667,3.2333333333333334
timing_noise,0.45,0.125,1.0,0.9641666666666666,0.8683333333333333,0.4041666666666667,7.713333333333333,6.946666666666666,3.2333333333333334
timing_noise,0.7,0.125,1.0,0.9583333333333334,0.8266666666666667,0.4041666666666667,7.666666666666667,6.613333333333333,3.2333333333333334
timing_noise,1.0,0.125,1.0,0.9566666666666667,0.8133333333333334,0.4041666666666667,7.653333333333333,6.506666666666667,3.2333333333333334
